profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPersonNote,Object History and Association Information,Associations > Associated person,Associated person note,assocPersonGroupList > assocPersonGroup,assocPersonNote,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPlace,Object History and Association Information,Associations > Associated place,Associated place,assocPlaceGroupList > assocPlaceGroup,assocPlace,string,n,n,y,authority: place/local,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPlaceType,Object History and Association Information,Associations > Associated place,Associated place type,assocPlaceGroupList > assocPlaceGroup,assocPlaceType,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPlaceNote,Object History and Association Information,Associations > Associated place,Associated place note,assocPlaceGroupList > assocPlaceGroup,assocPlaceNote,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocDateType,Object History and Association Information,Associations > Associated date,Associated date type,assocDateGroupList > assocDateGroup,assocDateType,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocDateNote,Object History and Association Information,Associations > Associated date,Associated date note,assocDateGroupList > assocDateGroup,assocDateNote,string,n,n,y,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.argusFoundAndUsed,Object History and Association Information,"",Argus found and used,"",argusFoundAndUsed,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectHistoryNote,Object History and Association Information,"",Object history note,"",objectHistoryNote,string,n,n,n/a,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.exhibitionHistory,Object History and Association Information,"",Exhibition history,exhibitionHistories,exhibitionHistory,string,n,y,n,"","",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.previousOwner,Object History and Association Information,Previous owner,Previous owner name,previousOwnersGroupList > previousOwnersGroup,previousOwner,string,n,n,y,authority: person/local; authority: organization/local,"",not in publicart_2-0-1
ocma_6-1-0,collectionobject,ns2:collectionobjects_omca,ns2:collectionobjects_omca,collectionobjects_omca.provenanceInformation,Object History and Association Information,Previous owner,Previous owner provenance information,previousOwnersGroupList > previousOwnersGroup,provenanceInformation,string,n,n,y,"","",not in publicart_2-0-1
