profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.sex,Object Description Information,"",Sex,"",sex,string,n,n,n/a,option list: sexes,"female, male"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.phase,Object Description Information,"",Phase,"",phase,string,n,n,n/a,option list: phases,"adult, imago, larva, nymph, pupa"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.form,Object Description Information,"",Form,forms,form,string,n,y,n,option list: forms,"dry, pinned, thin-section, wet"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.editionNumber,Object Description Information,"",Edition number,"",editionNumber,string,n,n,n/a,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.ageQualifier,Object Description Information,Age,Age qualifier,"",ageQualifier,string,n,n,n/a,vocabulary: agequalifier,""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.age,Object Description Information,Age,Age value,"",age,integer,n,n,n/a,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.ageUnit,Object Description Information,Age,Age unit,"",ageUnit,string,n,n,n/a,option list: ageUnits,"days, months, weeks, years"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.style,Object Description Information,"",Style,styles,style,string,n,y,n,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.color,Object Description Information,"",Color,colors,color,string,n,y,n,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.material,Object Description Information,Material,Material,materialGroupList > materialGroup,material,string,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialComponent,Object Description Information,Material,Material component,materialGroupList > materialGroup,materialComponent,string,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialComponentNote,Object Description Information,Material,Material component note,materialGroupList > materialGroup,materialComponentNote,string,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialName,Object Description Information,Material,Material name,materialGroupList > materialGroup,materialName,string,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialSource,Object Description Information,Material,Material source,materialGroupList > materialGroup,materialSource,string,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.physicalDescription,Object Description Information,"",Physical description,"",physicalDescription,string,n,n,n/a,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectComponentName,Object Description Information,Object component,Object component name,objectComponentGroupList > objectComponentGroup,objectComponentName,string,n,n,y,option list: objectComponentNames,"blade, buttonhole, handle, sleeve"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectComponentInformation,Object Description Information,Object component,Object component information,objectComponentGroupList > objectComponentGroup,objectComponentInformation,string,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.technicalAttribute,Object Description Information,Technical attribute,Technical attribute,technicalAttributeGroupList > technicalAttributeGroup,technicalAttribute,string,n,n,y,option list: technicalAttributes,"magnetic-tape-type, record-speed"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.technicalAttributeMeasurement,Object Description Information,Technical attribute,Technical attribute measurement,technicalAttributeGroupList > technicalAttributeGroup,technicalAttributeMeasurement,string,n,n,y,option list: technicalAttributeMeasurements,"78, metal"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.technicalAttributeMeasurementUnit,Object Description Information,Technical attribute,Technical attribute measurement unit,technicalAttributeGroupList > technicalAttributeGroup,technicalAttributeMeasurementUnit,string,n,n,y,option list: technicalAttributeMeasurementUnits,rpm
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPart,Object Description Information,"",Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimensionSummary,Object Description Information,"",Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimension,Object Description Information,"",Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, length, running-time, target, volume, weight, width"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredBy,Object Description Information,"",Measured by,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measuredBy,string,n,n,y,authority: person/local; authority: organization/local,""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementMethod,Object Description Information,"",Measurement method,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementMethod,string,n,n,y,option list: measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.value,Object Description Information,"",Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementUnit,Object Description Information,"",Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, feet, inches, kilograms, liters, meters, millimeters, minutes, ounces, pixels, pounds, square-feet, stories, tons"
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueQualifier,Object Description Information,"",Measurement qualifier,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueQualifier,string,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.valueDate,Object Description Information,"",Measurement date,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,valueDate,date,n,n,y,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.contentDescription,Object Description Information,Content,Content description,"",contentDescription,string,n,n,n/a,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.contentLanguage,Object Description Information,Content,Content language,contentLanguages,contentLanguage,string,n,y,n,vocabulary: languages,""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.contentActivity,Object Description Information,Content,Content activity,contentActivities,contentActivity,string,n,y,n,"",""
core_6_1_0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.contentConcept,Object Description Information,Content,Content concept,contentConcepts,contentConcept,string,n,y,n,authority: concept/associated; authority: concept/material,""
