profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.nextApplicationDate,Living Plant Information,Fertilization,field.conservation_livingplant.nextApplicationDate,fertilizationGroupList > fertilizationGroup,nextApplicationDate,date,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.fertilizerToBeUsed,Living Plant Information,Fertilization > field.conservation_livingplant.fertilizersToBeUsed,field.conservation_livingplant.fertilizerToBeUsed,fertilizationGroupList > fertilizationGroup > fertilizersToBeUsed,fertilizerToBeUsed,string,n,y,as part of larger repeating group,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.pestOrDiseaseObserved,Living Plant Information,Pest and Disease,field.conservation_livingplant.pestOrDiseaseObserved,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,pestOrDiseaseObserved,string,n,n,y,vocabulary: pestordiseaseobserved,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.identifiedBy,Living Plant Information,Pest and Disease,field.conservation_livingplant.identifiedBy,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,identifiedBy,string,n,n,y,authority: person/local,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.dateObserved,Living Plant Information,Pest and Disease,field.conservation_livingplant.dateObserved,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,dateObserved,date,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.treatmentDate,Living Plant Information,Pest and Disease,field.conservation_livingplant.treatmentDate,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,treatmentDate,date,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.futureTreatmentDate,Living Plant Information,Pest and Disease,field.conservation_livingplant.futureTreatmentDate,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,futureTreatmentDate,date,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.treatedBy,Living Plant Information,Pest and Disease,field.conservation_livingplant.treatedBy,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,treatedBy,string,n,n,y,authority: person/local,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.treatedWith,Living Plant Information,Pest and Disease,field.conservation_livingplant.treatedWith,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,treatedWith,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.futureTreatment,Living Plant Information,Pest and Disease,field.conservation_livingplant.futureTreatment,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,futureTreatment,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.futureTreatmentNotes,Living Plant Information,Pest and Disease,,pestsAndDiseaseGroupList > pestsAndDiseaseGroup,futureTreatmentNotes,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.dateRepotted,Living Plant Information,Repotting,field.conservation_livingplant.dateRepotted,"",dateRepotted,date,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.nextRepotting,Living Plant Information,Repotting,field.conservation_livingplant.nextRepotting,"",nextRepotting,date,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.soilMix,Living Plant Information,Repotting,field.conservation_livingplant.soilMix,"",soilMix,string,n,n,n/a,vocabulary: soilmix,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.description,Living Plant Information,Repotting,field.conservation_livingplant.description,"",description,string,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.container,Living Plant Information,Repotting,field.conservation_livingplant.container,"",container,float,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.performedBy,Living Plant Information,Repotting,field.conservation_livingplant.performedBy,"",performedBy,string,n,n,n/a,authority: person/local,"",not in core_7-0-0
bonsai_5-0-0,conservation,ns2:conservation_livingplant,ns2:conservation_livingplant,conservation_livingplant.plannedTreatment,Living Plant Information,Repotting,field.conservation_livingplant.plannedTreatment,"",plannedTreatment,string,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termDisplayName,Taxonomic Name Information,Term,Term display name,taxonTermGroupList > taxonTermGroup,termDisplayName,string,y,n,y,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termFormattedDisplayName,Taxonomic Name Information,Term,Formatted display name,taxonTermGroupList > taxonTermGroup,termFormattedDisplayName,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termQualifier,Taxonomic Name Information,Term,Term qualifier,taxonTermGroupList > taxonTermGroup,termQualifier,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termStatus,Taxonomic Name Information,Term,Term status,taxonTermGroupList > taxonTermGroup,termStatus,string,n,n,y,option list: taxonTermStatuses,"accepted, provisional, rejected, under review",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termType,Taxonomic Name Information,Term,Term type,taxonTermGroupList > taxonTermGroup,termType,string,n,n,y,option list: taxonTermTypes,"alternate descriptor, descriptor, used for term",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termFlag,Taxonomic Name Information,Term,Term flag,taxonTermGroupList > taxonTermGroup,termFlag,string,n,n,y,vocabulary: taxontermflag,"",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonomicStatus,Taxonomic Name Information,Term,Taxonomic status,taxonTermGroupList > taxonTermGroup,taxonomicStatus,string,n,n,y,option list: taxonomicStatuses,"accepted, invalid, misapplied name, valid",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termLanguage,Taxonomic Name Information,Term,Term language,taxonTermGroupList > taxonTermGroup,termLanguage,string,n,n,y,vocabulary: languages,"",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termPrefForLang,Taxonomic Name Information,Term,Term preferred for lang,taxonTermGroupList > taxonTermGroup,termPrefForLang,boolean,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termSource,Taxonomic Name Information,Term > Source,Term source name,taxonTermGroupList > taxonTermGroup,termSource,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termSourceDetail,Taxonomic Name Information,Term > Source,Term source detail,taxonTermGroupList > taxonTermGroup,termSourceDetail,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termSourceID,Taxonomic Name Information,Term > Source,Term source ID,taxonTermGroupList > taxonTermGroup,termSourceID,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.termSourceNote,Taxonomic Name Information,Term > Source,Term source note,taxonTermGroupList > taxonTermGroup,termSourceNote,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonRank,Taxonomic Name Information,"",Rank,"",taxonRank,string,n,n,n/a,option list: taxonRanks,"class, division, domain, family, genus, kingdom, order, phylum, species",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonCurrency,Taxonomic Name Information,"",Currency,"",taxonCurrency,string,n,n,n/a,option list: taxonCurrencies,"archaic, current, obsolete",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonAuthor,Taxonomic Name Information,Author,Author name,taxonAuthorGroupList > taxonAuthorGroup,taxonAuthor,string,n,n,y,authority: person/local; authority: organization/local,"",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonAuthorType,Taxonomic Name Information,Author,Author type,taxonAuthorGroupList > taxonAuthorGroup,taxonAuthorType,string,n,n,y,option list: taxonAuthorTypes,"ascribed, parenthetical",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonYear,Taxonomic Name Information,"",Year,"",taxonYear,string,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonIsNamedHybrid,Taxonomic Name Information,"",Is named hybrid,"",taxonIsNamedHybrid,boolean,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonCitation,Taxonomic Name Information,"",Citation,taxonCitationList,taxonCitation,string,n,y,n,authority: citation/local; authority: citation/worldcat,"",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.taxonNote,Taxonomic Name Information,"",Note,"",taxonNote,string,n,n,n/a,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.commonName,Taxonomic Name Information,Common name,Common name,commonNameGroupList > commonNameGroup,commonName,string,n,n,y,"","",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.commonNameLanguage,Taxonomic Name Information,Common name,Common name language,commonNameGroupList > commonNameGroup,commonNameLanguage,string,n,n,y,vocabulary: languages,"",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.commonNameSource,Taxonomic Name Information,Common name,Common name source,commonNameGroupList > commonNameGroup,commonNameSource,string,n,n,y,authority: citation/local,"",not in core_7-0-0
bonsai_5-0-0,taxon,ns2:taxon_common,ns2:taxon_common,taxon_common.commonNameSourceDetail,Taxonomic Name Information,Common name,Common name source detail,commonNameGroupList > commonNameGroup,commonNameSourceDetail,string,n,n,y,"","",not in core_7-0-0
core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectStatus,Object Description Information,"",Object status,objectStatusList,objectStatus,string,n,y,n,option list: objectStatuses,"copy, forgery, holotype, paralectotype, paratype, type",not in bonsai_5-0-0
core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.sex,Object Description Information,"",Sex,"",sex,string,n,n,n/a,option list: sexes,"female, male",not in bonsai_5-0-0
core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.phase,Object Description Information,"",Phase,"",phase,string,n,n,n/a,option list: phases,"adult, imago, larva, nymph, pupa",not in bonsai_5-0-0
core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.form,Object Description Information,"",Form,forms,form,string,n,y,n,option list: forms,"dry, pinned, thin-section, wet",not in bonsai_5-0-0
core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.ageQualifier,Object Description Information,Age,Age qualifier,"",ageQualifier,string,n,n,n/a,vocabulary: agequalifier,"",not in bonsai_5-0-0
core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.age,Object Description Information,Age,Age value,"",age,integer,n,n,n/a,"","",not in bonsai_5-0-0
